created_at,label,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
2022-11-22 22:33:46+00:00,1.0,"['presiden', 'jokowi', 'tinjau', 'langsung', 'lokasi', 'gempacianjur']",0.0,0.0,0.0,0.0,in,1.49850847447681e+18,1.59518378563677e+18,lensanusantara1,https://twitter.com/lensanusantara1/status/1595183785636777985
2022-11-22 22:34:41+00:00,-1.0,"['ahmadru', 'xix', 'siebong', 'p', 'anies', 'habis', 'ciamis', 'gempa', 'cianjur', 'krn', 'kadrun', 'yaman', 'tdk', 'patut', 'presiden', 'usung', 'khilafah', 'pro', 'hti', 'amp', 'fpi', 'aneh']",0.0,1.0,0.0,0.0,in,1.38982636143118e+18,1.59506336451831e+18,LuckyLudjainat1,https://twitter.com/LuckyLudjainat1/status/1595184016353001472
2022-11-22 22:34:45+00:00,1.0,"['gempa', 'cianjur', 'semarak', 'bola', 'dunia', 'wajah', 'tmii', 'memoar', 'rudy', 'salam']",0.0,1.0,0.0,0.0,in,359176388.0,1.59518403293728e+18,AliMudin328,https://twitter.com/AliMudin328/status/1595184032937283584
2022-11-22 22:35:08+00:00,1.0,"['muhaimin', 'iskandar', 'terjun', 'tim', 'khusus', 'bantu', 'korban', 'gempa', 'bumi', 'cianjur']",0.0,0.0,0.0,0.0,in,41730943.0,1.59518412957827e+18,VIVAcoid,https://twitter.com/VIVAcoid/status/1595184129578270720
2022-11-22 22:37:11+00:00,-1.0,"['tanyakanrl', 'kalo', 'orang', 'dampak', 'gempa', 'cianjur', 'sih', 'wajar', 'kaget', 'nder', 'trauma', 'an', 'korban', 'jiwa']",0.0,0.0,0.0,0.0,in,1.49832179302703e+18,1.59518284250117e+18,WaduhAku,https://twitter.com/WaduhAku/status/1595184647348326400
2022-11-22 22:37:20+00:00,1.0,"['ketua', 'fpks', 'dpr', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur', 'fpksdprri', 'jazulijuwaini']",0.0,0.0,10.0,24.0,in,91255162.0,1.59518468589817e+18,FPKSDPRRI,https://twitter.com/FPKSDPRRI/status/1595184685898170368
2022-11-22 22:37:24+00:00,1.0,"['saksi', 'mata', 'gempa', 'cianjur', 'duka', 'korban', 'cari', 'keluarga', 'hilang']",0.0,0.0,0.0,0.0,in,598959076.0,1.59518470303571e+18,20detik,https://twitter.com/20detik/status/1595184703035711488
2022-11-22 22:38:23+00:00,-1.0,"['antisipasi', 'curi', 'polres', 'cianjur', 'patroli', 'rumah', 'kosong', 'lokasi', 'gempa', 'sindonews', 'bukanberitabiasa']",0.0,0.0,0.0,0.0,in,231355136.0,1.59518494952275e+18,SINDOnews,https://twitter.com/SINDOnews/status/1595184949522759680
2022-11-22 22:38:34+00:00,1.0,"['juang', 'pln', 'sambung', 'kabel', 'putus', 'gempa', 'bumi', 'cianjur', 'baru', 'berita', 'bumi', 'cianjur']",0.0,0.0,0.0,0.0,in,564951196.0,1.59518499268631e+18,nolantv_com,https://twitter.com/nolantv_com/status/1595184992686313472
2022-11-22 22:41:11+00:00,1.0,"['infobmkg', 'jam', 'pagi', 'gempa', 'cugenang', 'cianjur', 'ngerasa', 'min', 'mah', 'goyang']",0.0,0.0,0.0,0.0,in,1.59157714379165e+18,1.59517143482475e+18,OkeBosNotedBos,https://twitter.com/OkeBosNotedBos/status/1595185653557313536
