created_at,label,category,tokenization,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
2022-11-22 22:33:46+00:00,1.0,evacuation route,"['presiden', 'jokowi', 'tinjau', 'langsung', 'lokasi', 'gempacianjur']",presiden jokowi tinjau langsung lokasi gempacianjur,0.0,0.0,0.0,0.0,in,"1,50E+32","1,60E+32",lensanusantara1,https://twitter.com/lensanusantara1/status/1595183785636777985
2022-11-22 22:34:41+00:00,-1.0,evacuation route,"['ahmadru', 'xix', 'siebong', 'p', 'anies', 'habis', 'ciamis', 'gempa', 'cianjur', 'krn', 'kadrun', 'yaman', 'tdk', 'patut', 'presiden', 'usung', 'khilafah', 'pro', 'hti', 'amp', 'fpi', 'aneh']",ahmadru xix kata siebong p anies habis ke ciamis kok malah ada gempa di cianjur  krn kadrun yaman tdk patut jd presiden pengusung khilafah yang pro hti amp  fpi   aneh kan,0.0,1.0,0.0,0.0,in,"1,39E+32","1,60E+32",LuckyLudjainat1,https://twitter.com/LuckyLudjainat1/status/1595184016353001472
2022-11-22 22:34:45+00:00,1.0,neutral,"['gempa', 'cianjur', 'semarak', 'bola', 'dunia', 'wajah', 'tmii', 'memoar', 'rudy', 'salam']",ada sejumlah hal harus diketahui  gempa di cianjur  semarak bola dunia  wajah baru tmii  memoar rudy salam,0.0,1.0,0.0,0.0,in,359176388.0,"1,60E+32",AliMudin328,https://twitter.com/AliMudin328/status/1595184032937283584
2022-11-22 22:35:08+00:00,1.0,evacuation route,"['muhaimin', 'iskandar', 'terjun', 'tim', 'khusus', 'bantu', 'korban', 'gempa', 'bumi', 'cianjur']",muhaimin iskandar terjunkan tim khusus bantu korban gempa bumi cianjur,0.0,0.0,0.0,0.0,in,41730943.0,"1,60E+32",VIVAcoid,https://twitter.com/VIVAcoid/status/1595184129578270720
2022-11-22 22:37:11+00:00,-1.0,evacuation route,"['tanyakanrl', 'kalo', 'orang', 'dampak', 'gempa', 'cianjur', 'sih', 'wajar', 'kaget', 'nder', 'trauma', 'an', 'korban', 'jiwa']",tanyakanrl kalo orang yang yang terdampak gempa cianjur sih wajar kaget nder  trauma soalnya sampai an lebih korban jiwanya,0.0,0.0,0.0,0.0,in,"1,50E+32","1,60E+32",WaduhAku,https://twitter.com/WaduhAku/status/1595184647348326400
2022-11-22 22:37:20+00:00,1.0,neutral,"['ketua', 'fpks', 'dpr', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur', 'fpksdprri', 'jazulijuwaini']",ketua fpks dpr instruksikan aleg pks potong gaji bantu korban gempa cianjur  lewat fpksdprri  jazulijuwaini,0.0,0.0,10.0,24.0,in,91255162.0,"1,60E+32",FPKSDPRRI,https://twitter.com/FPKSDPRRI/status/1595184685898170368
2022-11-22 22:37:24+00:00,1.0,evacuation route,"['saksi', 'mata', 'gempa', 'cianjur', 'duka', 'korban', 'cari', 'keluarga', 'hilang']",saksi mata gempa cianjur duka korban cari keluarga hilang,0.0,0.0,0.0,0.0,in,598959076.0,"1,60E+32",20detik,https://twitter.com/20detik/status/1595184703035711488
2022-11-22 22:38:23+00:00,-1.0,evacuation route,"['antisipasi', 'curi', 'polres', 'cianjur', 'patroli', 'rumah', 'kosong', 'lokasi', 'gempa', 'sindonews', 'bukanberitabiasa']",antisipasi pencurian  polres cianjur patroli rumah kosong di lokasi gempa   sindonews bukanberitabiasa,0.0,0.0,0.0,0.0,in,231355136.0,"1,60E+32",SINDOnews,https://twitter.com/SINDOnews/status/1595184949522759680
2022-11-22 22:38:34+00:00,1.0,electricity,"['juang', 'pln', 'sambung', 'kabel', 'putus', 'gempa', 'bumi', 'cianjur', 'baru', 'berita', 'bumi', 'cianjur']",perjuangan pln menyambung kabel yg terputus usai gempa bumi di cianjur  terbaru berita bumi cianjur,0.0,0.0,0.0,0.0,in,564951196.0,"1,60E+32",nolantv_com,https://twitter.com/nolantv_com/status/1595184992686313472
2022-11-22 22:41:11+00:00,1.0,evacuation route,"['infobmkg', 'jam', 'pagi', 'gempa', 'cugenang', 'cianjur', 'ngerasa', 'min', 'mah', 'goyang']",infobmkg jam  pagi  gempa cugenang cianjur  ga ngerasa min sini mah goyang,0.0,0.0,0.0,0.0,in,"1,59E+32","1,60E+32",OkeBosNotedBos,https://twitter.com/OkeBosNotedBos/status/1595185653557313536
2022-11-22 22:41:52+00:00,-1.0,neutral,"['gempa', 'kuat', 'magnitudo', 'guncang', 'kabupaten', 'cianjur', 'november', 'wib', 'bangun', 'rumah', 'sekolah', 'ibadah', 'mengal']",gempa berkekuatan magnitudo   mengguncang kabupaten cianjur pada  november  sekitar pukul   wib  bangunan rumah  sekolah  tempat ibadah  mengal,0.0,0.0,0.0,0.0,in,"1,19E+32","1,60E+32",voidotid,https://twitter.com/voidotid/status/1595185826635415552
2022-11-22 22:42:06+00:00,1.0,evacuation route,"['data', 'baru', 'korban', 'gempa', 'cianjur', 'orang', 'hilang', 'tinggal', 'warga', 'ungsi', 'berita', 'betul']",data terbaru korban gempa cianjur  orang masih hilang   meninggal    warga mengungsi  berita betulan,0.0,0.0,0.0,0.0,in,1324552584.0,"1,60E+32",KapalPerang,https://twitter.com/KapalPerang/status/1595185884382781441
2022-11-22 22:42:06+00:00,1.0,evacuation route,"['mohon', 'bantu', 'donasi', 'manusia', 'bapakibu', 'gempa', 'cianjur']",mohon bantuan donasi kemanusiaan bapakibu untuk gempa cianjur,0.0,0.0,0.0,0.0,in,4801623014.0,"1,60E+32",AAmarakhmar,https://twitter.com/AAmarakhmar/status/1595185885922086912
2022-11-22 22:42:34+00:00,1.0,shelter,"['mari', 'luang', 'doa', 'korban', 'gempa', 'bumi', 'cianjur', 'mari', 'bantu', 'gus', 'yusufch']",mari sejenak kita luangkan waktu untuk mendoakan para korban gempa bumi di cianjur dan sekitarnya  dan mari kita bantu dengan apa yang kita punya   gus yusufch,1.0,2.0,8.0,52.0,in,"7,41E+31","1,60E+31",gusyusufchannel,https://twitter.com/gusyusufchannel/status/1595185999444705281
2022-11-22 22:42:45+00:00,1.0,evacuation route,"['tetap', 'pemkab', 'cianjur', 'pasca', 'gempa', 'selaam', 'depan']",ini yang ditetapkan pemkab cianjur pasca gempa selaam  hari kedepan,0.0,0.0,0.0,0.0,in,550952287.0,"1,60E+32",JabarPublisher,https://twitter.com/JabarPublisher/status/1595186047444557825
2022-11-22 22:42:50+00:00,1.0,medical emergency,['gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya'],gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya,0.0,0.0,0.0,0.0,in,"9,78E+31","1,60E+32",beritainspirat1,https://twitter.com/beritainspirat1/status/1595186067014963200
2022-11-22 22:43:03+00:00,1.0,evacuation route,"['sahabatdaqu', 'bencana', 'landa', 'wilayah', 'salah', 'gempa', 'cianjur', 'sejati', 'salah', 'ikhtiar', 'laku', 'hindar', 'bencana', 'sedekah', 'klik']",sahabatdaqu sejumlah bencana melanda beberapa wilayah pada  ini  salah satu yang baru terjadi yaitu gempa cianjur  sejatinya salah satu ikhtiar yang bisa kita lakukan untuk menghindarkan diri dari bencana adalah sedekah  klik,0.0,0.0,2.0,2.0,in,119589899.0,"1,60E+31",Daarul_Quran,https://twitter.com/Daarul_Quran/status/1595186123248406528
2022-11-22 22:43:41+00:00,1.0,evacuation route,"['gak', 'kuat', 'liat', 'video', 'korban', 'gempa', 'cianjur', 'gendong', 'jenazah', 'anak', 'muka', 'linglung', 'ya', 'allah']",gak kuat bgt liat video bapak korban gempa cianjur gendong jenazah anaknya dengan muka linglung ya allah,0.0,0.0,0.0,0.0,in,1274186624.0,"1,60E+32",Classytrashy_,https://twitter.com/Classytrashy_/status/1595186281574957056
2022-11-22 22:43:42+00:00,1.0,evacuation route,"['lahir', 'pas', 'gempa', 'gempita', 'lahir', 'pas', 'sunam', 'sunamita', 'lahir', 'pas', 'banjir', 'banjirita', 'lahir', 'pas', 'gak', 'duit', 'rungsingta', 'lahir', 'pas', 'nyanyi', 'kamar', 'mandi', 'bunda', 'rita', 'hatur', 'nuhun', 'gubernur', 'ridwankamil', 'perhati', 'warga', 'cianjur']",lahirnya pas gempa jadi gempita  lahirnya pas sunami jadi sunamita  lahirnya pas banjir jadi banjirita  lahirnya pas gak ada duit jadi rungsingta  lahirnya pas nyanyi di kamar mandi jadi bunda rita      hatur nuhun pak gubernur ridwankamil yg sudah perhatian kepada warga cianjur,0.0,0.0,0.0,0.0,in,599220227.0,"1,60E+32",aslamnatsir,https://twitter.com/aslamnatsir/status/1595186286377447424
2022-11-22 22:44:04+00:00,1.0,evacuation route,"['trauma', 'banget', 'ngebekas', 'gempa', 'cianjur', 'kemarin', 'goyang', 'parno', 'banget', 'tambah', 'tetangga', 'samping', 'rumah', 'roboh', 'halaman', 'nyaa']",masih trauma banget ngebekas karena gempa cianjur kemarin   ada goyang sedikit jadi parno banget   ditambah tetangga samping rumah roboh bagian halaman nyaa,0.0,1.0,0.0,0.0,in,369384787.0,"1,60E+30",Misteriius,https://twitter.com/Misteriius/status/1595186378304008193
2022-11-22 22:44:53+00:00,1.0,evacuation route,"['data', 'kini', 'korban', 'gempa', 'cianjur']",data terkini jumlah korban gempa cianjur,0.0,0.0,0.0,0.0,in,"1,34E+32","1,60E+32",maciregar,https://twitter.com/maciregar/status/1595186583262547968
2022-11-22 22:46:04+00:00,1.0,evacuation route,"['sekolah', 'rusak', 'akibat', 'gempa', 'cianjur', 'disdik', 'jawa', 'barat', 'pasti', 'kbm', 'jalan']",sekolah rusak akibat gempa cianjur  disdik jawa barat pastikan kbm tetap berjalan,0.0,0.0,0.0,0.0,in,231355136.0,"1,60E+32",SINDOnews,https://twitter.com/SINDOnews/status/1595186883679514624
2022-11-22 22:47:01+00:00,-1.0,CLothes,"['lokasi', 'bencana', 'habis', 'stok', 'kain', 'kafan', 'pemulasaran', 'jenazah', 'korban', 'gempa', 'cianjur', 'jabar', 'jenazah', 'paksa', 'diam', 'halaman', 'posko', 'darurat']",sejumlah lokasi bencana kehabisan stok kain kafan untuk pemulasaran jenazah korban gempa cianjur  jabar  jenazah terpaksa didiamkan di halaman posko darurat,0.0,0.0,0.0,0.0,in,"1,52E+32","1,60E+32",tauberitamedia,https://twitter.com/tauberitamedia/status/1595187122532585472
2022-11-22 22:47:32+00:00,-1.0,shelter,"['nasib', 'hamil', 'desa', 'benjot', 'nahas', 'gempa', 'bumi', 'cianjur', 'indri', 'timbun', 'jajan', 'warung', 'tribunnews']",nasib  ibu hamil di desa benjot nahas saat gempa bumi cianjur  indri tertimbun usai jajan di warung    lewat tribunnews,0.0,0.0,0.0,0.0,in,"1,24E+32","1,60E+32",Tribun_Bogor,https://twitter.com/Tribun_Bogor/status/1595187252652433408
2022-11-22 22:47:37+00:00,-1.0,evacuation route,"['infobmkg', 'daerah', 'pusat', 'kota', 'cianjur', 'sentuh', 'bantu', 'info', 'rekan', 'alumni', 'organisasi', 'mahasiswa', 'kampus', 'dampak', 'gempa']",infobmkg yang di daerah pusat kota cianjur belum tersentuh bantuan  info dari rekan sesama alumni organisasi kemahasiswaan kampus yang juga terdampak gempa,0.0,0.0,0.0,5.0,in,68875024.0,"1,60E+31",ranrinrun11,https://twitter.com/ranrinrun11/status/1595187271871127552
2022-11-22 22:47:43+00:00,1.0,evacuation route,"['jazuli', 'juwaini', 'instruksi', 'anggota', 'fraksi', 'pks', 'dpr', 'sisih', 'gaji', 'korban', 'gempacianjur']",jazuli juwaini instruksikan anggota fraksi pks dpr sisihkan gaji untuk korban gempacianjur,0.0,0.0,2.0,2.0,in,"8,54E+31","1,60E+32",radaraktual,https://twitter.com/radaraktual/status/1595187296671879168
2022-11-22 22:47:52+00:00,1.0,evacuation route,"['putin', 'belasungkawa', 'presiden', 'jokowi', 'kait', 'insiden', 'gempa', 'cianjur', 'duka', 'jatuh', 'korban', 'jiwa', 'akibat', 'bencana']",putin menyampaikan belasungkawa kepada presiden jokowi terkait insiden gempa cianjur  dia berduka atas jatuhnya banyak korban jiwa akibat bencana itu,9.0,44.0,202.0,1695.0,in,69183155.0,"1,60E+32",detikcom,https://twitter.com/detikcom/status/1595187333124554757
2022-11-22 22:49:03+00:00,-1.0,evacuation route,"['tulis', 'pray', 'for', 'cianjur', 'sebar', 'video', 'gempa', 'donggala']",tulis pray for cianjur  tapi sebar video gempa donggala,0.0,0.0,0.0,2.0,in,2392460208.0,"1,60E+32",jawapos,https://twitter.com/jawapos/status/1595187631352348673
2022-11-22 22:49:03+00:00,1.0,medical emergency,"['bsmi', 'peduli', 'cianjur', 'bsmi', 'diri', 'posko', 'peduli', 'gempa', 'cianjur', 'rumah', 'sakit', 'lapang', 'bantu', 'medis', 'korban', 'gempa', 'dukung', 'tim', 'rawan', 'bsmi', 'mari', 'bantu', 'warga', 'cianjur', 'salam', 'manusia', 'batas', 'care', 'for', 'life', 'selamat', 'jiwa', 'sambung', 'ribu']",bsmi peduli cianjur  bsmi mendirikan posko peduli gempa cianjur berupa rumah sakit lapangan untuk memberikan bantuan medis kepada korban gempa  dukung tim relawan bsmi mari bantu warga cianjur  salam kemanusiaan tanpa batas  care for life  selamatkan satu jiwa sambung seribu,0.0,0.0,0.0,1.0,in,854309275.0,"1,60E+32",BSMIJatim,https://twitter.com/BSMIJatim/status/1595187634753732615
2022-11-22 22:49:04+00:00,1.0,food,"['presiden', 'mbz', 'kirim', 'bantu', 'makan', 'korban', 'gempa', 'cianjur']",presiden mbz kirim bantuan makanan untuk korban gempa cianjur,0.0,0.0,0.0,0.0,in,"1,09E+32","1,60E+32",Inisiatifnews,https://twitter.com/Inisiatifnews/status/1595187636565856257
