,created_at,label,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,2022-11-22 22:33:46+00:00,1,Presiden Jokowi Tinjau Langsung Lokasi GempaÂ Cianjur https://t.co/cQoX5MXe5y,0,0,0,0,in,1.49850847447681E+018,1.59518378563677E+018,lensanusantara1,https://twitter.com/lensanusantara1/status/1595183785636777985
1,2022-11-22 22:34:41+00:00,-1,"@ahmadru91949359 @xix0_3 Kata siebong,p.Anies habis ke ciamis,kok malah ada gempa di cianjur, krn kadrun yaman tdk patut jd presiden pengusung khilafah yang pro HTI &amp  FPI...aneh kan?ðŸ¤”ðŸ¤«ðŸ¥º",0,1,0,0,in,1.38982636143118E+018,1.59506336451831E+018,LuckyLudjainat1,https://twitter.com/LuckyLudjainat1/status/1595184016353001472
2,2022-11-22 22:34:45+00:00,1,Ada sejumlah hal harus diketahui: - Gempa di Cianjur - Semarak Bola Dunia - Wajah Baru TMII - MEMOAR: Rudy Salam,0,1,0,0,in,359176388,1.59518403293728E+018,AliMudin328,https://twitter.com/AliMudin328/status/1595184032937283584
3,2022-11-22 22:35:08+00:00,1,Muhaimin Iskandar Terjunkan Tim Khusus Bantu Korban Gempa Bumi Cianjur https://t.co/QDugkc7vBs,0,0,0,0,in,41730943,1.59518412957827E+018,VIVAcoid,https://twitter.com/VIVAcoid/status/1595184129578270720
4,2022-11-22 22:37:11+00:00,-1,"@tanyakanrl Kalo orang yang yang terdampak gempa cianjur sih wajar kaget nder, trauma soalnya sampai 200an lebih korban jiwanya.",0,0,0,0,in,1.49832179302703E+018,1.59518284250117E+018,WaduhAku,https://twitter.com/WaduhAku/status/1595184647348326400
5,2022-11-22 22:37:20+00:00,1,Ketua FPKS DPR Instruksikan Aleg PKS Potong Gaji Bantu Korban Gempa Cianjur https://t.co/VFt9GNEdzj lewat @FPKSDPRRI | @JazuliJuwaini,0,0,10,24,in,91255162,1.59518468589817E+018,FPKSDPRRI,https://twitter.com/FPKSDPRRI/status/1595184685898170368
6,2022-11-22 22:37:24+00:00,1,Saksi Mata Gempa Cianjur: Duka Korban Cari Keluarga Hilang https://t.co/5yH6FDktwn,0,0,0,0,in,598959076,1.59518470303571E+018,20detik,https://twitter.com/20detik/status/1595184703035711488
7,2022-11-22 22:38:23+00:00,-1,"Antisipasi Pencurian, Polres Cianjur Patroli Rumah Kosong di Lokasi Gempa   #Sindonews #BukanBeritaBiasa .https://t.co/DkhEMYTo38",0,0,0,0,in,231355136,1.59518494952275E+018,SINDOnews,https://twitter.com/SINDOnews/status/1595184949522759680
8,2022-11-22 22:38:34+00:00,1,Perjuangan PLN Menyambung Kabel yg Terputus Usai Gempa Bumi di Cianjur https://t.co/isRqO67UX3 #Terbaru #berita #bumi #cianjur https://t.co/TOga32fZ30,0,0,0,0,in,564951196,1.59518499268631E+018,nolantv_com,https://twitter.com/nolantv_com/status/1595184992686313472
9,2022-11-22 22:41:11+00:00,1,"@infoBMKG Jam 3 pagi, gempa cugenang cianjur, ga ngerasa min? Sini mah goyang",0,0,0,0,in,1.59157714379165E+018,1.59517143482475E+018,OkeBosNotedBos,https://twitter.com/OkeBosNotedBos/status/1595185653557313536
10,2022-11-22 22:41:52+00:00,-1,"Gempa berkekuatan magnitudo 5,6 mengguncang Kabupaten Cianjur pada 21 November 2022 sekitar pukul 13.21 WIB. Bangunan rumah, sekolah, tempat ibadah, mengal... https://t.co/EASp2E4kgi",0,0,0,0,in,1.18694665059541E+018,1.59518582663541E+018,voidotid,https://twitter.com/voidotid/status/1595185826635415552
11,2022-11-22 22:42:06+00:00,1,"Data Terbaru Korban Gempa Cianjur: 151 Orang Masih Hilang, 268 Meninggal, 58.362 Warga Mengungsi https://t.co/Falyeh9eBs Berita Betulan",0,0,0,0,in,1324552584,1.59518588438278E+018,KapalPerang,https://twitter.com/KapalPerang/status/1595185884382781441
12,2022-11-22 22:42:06+00:00,1,Mohon BANTUAN DONASI KEMANUSIAAN Bapak/Ibu Untuk GEMPA CIANJUR https://t.co/IbjD45QuIN,0,0,0,0,in,4801623014,1.59518588592208E+018,AAmarakhmar,https://twitter.com/AAmarakhmar/status/1595185885922086912
13,2022-11-22 22:42:34+00:00,1,"Mari sejenak kita luangkan waktu untuk mendoakan para korban gempa bumi di Cianjur dan sekitarnya, dan mari kita bantu dengan apa yang kita punya.  Gus @yusuf_ch https://t.co/5WKRIPOtk6",1,2,8,52,in,7.40603423079288E+017,1.5951859994447E+018,gusyusufchannel,https://twitter.com/gusyusufchannel/status/1595185999444705281
14,2022-11-22 22:42:45+00:00,1,Ini yang Ditetapkan Pemkab Cianjur Pasca Gempa Selaam 30 hari keÂ Depan https://t.co/NTqIfZC1S4,0,0,0,0,in,550952287,1.59518604744455E+018,JabarPublisher,https://twitter.com/JabarPublisher/status/1595186047444557825
15,2022-11-22 22:42:50+00:00,1,gempa-cianjur-pemkot-bandung-kirim-ambulans-dan-bantuan-pokok-lainnya https://t.co/nNKAhTSP7z,0,0,0,0,in,9.77522014192787E+017,1.59518606701496E+018,beritainspirat1,https://twitter.com/beritainspirat1/status/1595186067014963200
16,2022-11-22 22:43:03+00:00,1,SahabatDAQUâ€¦ Sejumlah bencana melanda beberapa wilayah pada 2022 ini. Salah satu yang baru terjadi yaitu gempa Cianjur  Sejatinya salah satu ikhtiar yang bisa kita lakukan untuk menghindarkan diri dari bencana adalah sedekah  Klik https://t.co/VuZ1dsMseY https://t.co/zRTLW51prC,0,0,2,2,in,119589899,1.5951861232484E+018,Daarul_Quran,https://twitter.com/Daarul_Quran/status/1595186123248406528
17,2022-11-22 22:43:41+00:00,1,Gak kuat bgt liat video bapak2 korban gempa cianjur gendong jenazah anaknya dengan muka linglung ya Allah.,0,0,0,0,in,1274186624,1.59518628157495E+018,Classytrashy_,https://twitter.com/Classytrashy_/status/1595186281574957056
18,2022-11-22 22:43:42+00:00,1,"Lahirnya pas Gempa jadi Gempita, Lahirnya pas Sunami jadi Sunamita, Lahirnya pas Banjir jadi Banjirita, Lahirnya pas gak ada duit jadi rungsingta, Lahirnya pas Nyanyi di kamar mandi jadi BUNDA RITA.  .. Hatur Nuhun pak Gubernur @ridwankamil yg sudah perhatian kepada warga Cianjur",0,0,0,0,in,599220227,1.59518628637744E+018,aslamnatsir,https://twitter.com/aslamnatsir/status/1595186286377447424
19,2022-11-22 22:44:04+00:00,1,"Masih trauma banget ngebekas karena gempa Cianjur kemarin ðŸ˜­, ada goyang sedikit jadi parno banget , ditambah tetangga samping rumah roboh bagian halaman nyaa ðŸ¥² https://t.co/K5ZZ0vaEs0",0,1,0,0,in,369384787,1.595186378304E+018,Misteriius,https://twitter.com/Misteriius/status/1595186378304008193
20,2022-11-22 22:44:53+00:00,1,Data Terkini Jumlah Korban Gempa Cianjur https://t.co/bCdv5UOQtE,0,0,0,0,in,1.33694437302032E+018,1.59518658326254E+018,maciregar,https://twitter.com/maciregar/status/1595186583262547968
21,2022-11-22 22:46:04+00:00,1,"26 Sekolah Rusak Akibat Gempa Cianjur, Disdik Jawa Barat Pastikan KBM Tetap Berjalan  https://t.co/jMMkaqmSPW",0,0,0,0,in,231355136,1.59518688367951E+018,SINDOnews,https://twitter.com/SINDOnews/status/1595186883679514624
22,2022-11-22 22:47:01+00:00,-1,"Sejumlah lokasi bencana kehabisan stok kain kafan untuk pemulasaran jenazah korban gempa Cianjur, Jabar. Jenazah terpaksa didiamkan di halaman posko darurat. https://t.co/176AnVJZZw",0,0,0,0,in,1.52099827116183E+018,1.59518712253258E+018,tauberitamedia,https://twitter.com/tauberitamedia/status/1595187122532585472
23,2022-11-22 22:47:32+00:00,-1,"Nasib 2 Ibu Hamil di Desa Benjot Nahas saat Gempa Bumi Cianjur, Indri Tertimbun Usai Jajan di Warung   https://t.co/IkwvhIDB3R lewat @tribunnews",0,0,0,0,in,1.23991998722712E+018,1.59518725265243E+018,Tribun_Bogor,https://twitter.com/Tribun_Bogor/status/1595187252652433408
24,2022-11-22 22:47:37+00:00,-1,"@infoBMKG Yang di daerah pusat kota Cianjur belum tersentuh bantuan, info dari rekan sesama alumni organisasi kemahasiswaan kampus Yang juga terdampak gempa. ðŸ™ https://t.co/8n6miTf3Xl",0,0,0,5,in,68875024,1.5950411568782E+018,ranrinrun11,https://twitter.com/ranrinrun11/status/1595187271871127552
25,2022-11-22 22:47:43+00:00,1,Jazuli Juwaini Instruksikan Anggota Fraksi PKS DPR Sisihkan Gaji Untuk Korban GempaÂ Cianjur https://t.co/HUw7NGJxbU,0,0,2,2,in,8.53782937782714E+017,1.59518729667187E+018,radaraktual,https://twitter.com/radaraktual/status/1595187296671879168
26,2022-11-22 22:47:52+00:00,1,Putin menyampaikan belasungkawa kepada Presiden Jokowi terkait insiden gempa Cianjur. Dia berduka atas jatuhnya banyak korban jiwa akibat bencana itu. https://t.co/MNZ3GDt5ba,9,44,202,1695,in,69183155,1.59518733312455E+018,detikcom,https://twitter.com/detikcom/status/1595187333124554757
27,2022-11-22 22:49:03+00:00,-1,"Tulis Pray for Cianjur, tapi Sebar Video Gempa Donggala 2018 https://t.co/BkWAsozaq5",0,0,0,2,in,2392460208,1.59518763135234E+018,jawapos,https://twitter.com/jawapos/status/1595187631352348673
28,2022-11-22 22:49:03+00:00,1,BSMI PEDULI CIANJUR  BSMI mendirikan posko peduli gempa Cianjur berupa Rumah Sakit Lapangan untuk memberikan bantuan medis kepada korban gempa. Dukung Tim relawan BSMI mari bantu warga Cianjur. Salam kemanusiaan tanpa batas. Care for life. Selamatkan satu jiwa sambung seribuâ€¦ https://t.co/SFBj9ajozZ,0,0,0,1,in,854309275,1.59518763475373E+018,BSMIJatim,https://twitter.com/BSMIJatim/status/1595187634753732615
